Month,Product_Category,Previous_Sales,Seasonality_Factor,Demand
9,Beverages,252,1.3,349
8,Beverages,73,1.2,91
5,Confectionery,493,1.3,531
2,Snacks,400,1.1,364
5,Snacks,360,1.3,413
8,Beverages,257,1.2,282
10,Snacks,329,1.4,513
9,Beverages,254,1.3,285
12,Confectionery,201,1.8,295
12,Confectionery,487,1.8,839
12,Beverages,75,1.8,130
9,Confectionery,243,1.3,309
1,Confectionery,385,1.0,435
9,Beverages,471,1.3,513
7,Beverages,287,1.4,434
9,Confectionery,370,1.3,449
8,Snacks,124,1.2,137
1,Snacks,484,1.0,567
12,Beverages,212,1.8,343
8,Beverages,348,1.2,441
8,Snacks,78,1.2,85
11,Confectionery,214,1.6,343
3,Snacks,386,1.2,516
1,Snacks,235,1.0,270
8,Snacks,103,1.2,140
3,Snacks,344,1.2,426
3,Beverages,91,1.2,98
1,Beverages,461,1.0,490
11,Confectionery,334,1.6,579
5,Confectionery,476,1.3,497
10,Confectionery,436,1.4,595
7,Confectionery,187,1.4,297
10,Snacks,236,1.4,329
9,Beverages,447,1.3,537
12,Beverages,253,1.8,523
7,Confectionery,480,1.4,579
9,Confectionery,91,1.3,104
8,Snacks,399,1.2,514
12,Snacks,465,1.8,787
2,Confectionery,337,1.1,402
1,Beverages,475,1.0,409
7,Beverages,465,1.4,586
7,Beverages,75,1.4,90
8,Confectionery,420,1.2,595
5,Beverages,434,1.3,542
3,Snacks,105,1.2,117
12,Snacks,302,1.8,437
8,Confectionery,171,1.2,176
6,Snacks,155,1.5,225
11,Confectionery,179,1.6,236
3,Beverages,386,1.2,465
1,Beverages,207,1.0,203
3,Beverages,425,1.2,564
5,Snacks,280,1.3,387
3,Confectionery,357,1.2,419
1,Beverages,140,1.0,124
5,Confectionery,442,1.3,626
10,Beverages,71,1.4,107
7,Snacks,339,1.4,408
7,Snacks,159,1.4,259
11,Confectionery,98,1.6,129
9,Snacks,178,1.3,190
10,Snacks,122,1.4,149
10,Confectionery,389,1.4,633
12,Beverages,102,1.8,185
3,Snacks,405,1.2,541
7,Confectionery,429,1.4,535
1,Snacks,217,1.0,216
4,Snacks,94,1.0,88
4,Snacks,442,1.0,499
5,Snacks,154,1.3,161
7,Confectionery,199,1.4,250
7,Confectionery,195,1.4,235
11,Confectionery,253,1.6,462
4,Snacks,411,1.0,405
7,Snacks,348,1.4,468
11,Snacks,216,1.6,338
3,Confectionery,250,1.2,356
6,Snacks,183,1.5,312
12,Beverages,260,1.8,506
2,Snacks,97,1.1,97
10,Beverages,175,1.4,212
9,Snacks,288,1.3,437
5,Confectionery,56,1.3,70
6,Snacks,321,1.5,438
12,Beverages,434,1.8,772
12,Beverages,420,1.8,882
12,Snacks,86,1.8,147
12,Beverages,260,1.8,479
4,Beverages,214,1.0,239
11,Confectionery,174,1.6,270
10,Snacks,386,1.4,482
7,Snacks,241,1.4,404
12,Snacks,267,1.8,568
9,Beverages,263,1.3,388
7,Snacks,111,1.4,167
1,Snacks,377,1.0,346
1,Confectionery,494,1.0,575
9,Confectionery,430,1.3,508
11,Confectionery,210,1.6,376
9,Beverages,115,1.3,174
4,Snacks,335,1.0,348
9,Confectionery,288,1.3,419
3,Confectionery,69,1.2,92
7,Confectionery,237,1.4,291
6,Snacks,131,1.5,209
8,Snacks,412,1.2,414
11,Snacks,251,1.6,402
9,Beverages,457,1.3,513
5,Beverages,181,1.3,227
1,Confectionery,86,1.0,97
3,Snacks,181,1.2,259
10,Confectionery,126,1.4,163
12,Snacks,138,1.8,251
8,Snacks,451,1.2,543
11,Snacks,302,1.6,571
6,Beverages,393,1.5,584
8,Beverages,243,1.2,314
9,Snacks,225,1.3,341
4,Confectionery,82,1.0,77
1,Snacks,107,1.0,124
1,Snacks,250,1.0,291
10,Confectionery,77,1.4,126
4,Snacks,84,1.0,76
12,Confectionery,174,1.8,300
7,Beverages,443,1.4,712
2,Beverages,370,1.1,384
3,Confectionery,91,1.2,113
1,Beverages,134,1.0,113
5,Beverages,442,1.3,472
1,Confectionery,237,1.0,228
8,Beverages,160,1.2,198
1,Snacks,320,1.0,306
11,Snacks,490,1.6,808
1,Confectionery,374,1.0,376
2,Beverages,154,1.1,181
2,Snacks,455,1.1,530
12,Snacks,369,1.8,644
6,Beverages,90,1.5,130
7,Beverages,264,1.4,316
5,Snacks,120,1.3,156
1,Snacks,105,1.0,108
1,Confectionery,456,1.0,451
3,Confectionery,285,1.2,318
2,Snacks,330,1.1,395
5,Confectionery,154,1.3,166
12,Snacks,439,1.8,921
10,Snacks,424,1.4,479
6,Confectionery,211,1.5,375
7,Confectionery,240,1.4,330
4,Beverages,58,1.0,55
7,Beverages,109,1.4,137
11,Beverages,430,1.6,553
8,Snacks,354,1.2,386
11,Confectionery,274,1.6,369
1,Snacks,356,1.0,378
6,Confectionery,237,1.5,329
8,Snacks,119,1.2,158
5,Beverages,342,1.3,392
4,Beverages,336,1.0,389
2,Beverages,218,1.1,242
6,Snacks,111,1.5,140
6,Confectionery,398,1.5,573
11,Confectionery,491,1.6,693
1,Beverages,63,1.0,55
9,Beverages,213,1.3,277
12,Beverages,469,1.8,902
11,Beverages,294,1.6,547
6,Confectionery,384,1.5,576
3,Snacks,57,1.2,81
4,Snacks,203,1.0,238
12,Snacks,85,1.8,175
11,Snacks,97,1.6,155
4,Beverages,134,1.0,114
3,Beverages,77,1.2,81
10,Beverages,245,1.4,363
3,Snacks,495,1.2,575
3,Beverages,257,1.2,264
4,Beverages,253,1.0,250
7,Confectionery,356,1.4,402
4,Confectionery,153,1.0,167
9,Beverages,279,1.3,300
1,Confectionery,475,1.0,499
8,Confectionery,150,1.2,201
7,Beverages,78,1.4,93
2,Beverages,176,1.1,195
8,Beverages,387,1.2,516
1,Beverages,59,1.0,53
11,Snacks,155,1.6,214
12,Snacks,216,1.8,363
9,Beverages,306,1.3,406
9,Confectionery,344,1.3,460
2,Beverages,326,1.1,305
7,Beverages,114,1.4,156
10,Confectionery,320,1.4,406
3,Snacks,437,1.2,596
7,Beverages,237,1.4,307
12,Beverages,366,1.8,748
10,Snacks,453,1.4,616
9,Snacks,187,1.3,265
4,Confectionery,392,1.0,393
12,Snacks,154,1.8,290
1,Snacks,83,1.0,79
2,Snacks,429,1.1,522
1,Confectionery,159,1.0,154
12,Snacks,481,1.8,851
5,Snacks,82,1.3,107
5,Confectionery,403,1.3,593
11,Snacks,280,1.6,476
7,Snacks,366,1.4,481
9,Confectionery,315,1.3,437
9,Beverages,231,1.3,317
3,Confectionery,389,1.2,547
3,Snacks,114,1.2,155
3,Snacks,382,1.2,485
4,Snacks,50,1.0,46
8,Confectionery,182,1.2,242
6,Snacks,129,1.5,199
8,Snacks,320,1.2,458
1,Confectionery,290,1.0,260
8,Beverages,77,1.2,76
4,Beverages,272,1.0,225
11,Snacks,72,1.6,121
1,Confectionery,158,1.0,185
8,Snacks,156,1.2,149
4,Confectionery,194,1.0,211
6,Confectionery,418,1.5,666
8,Beverages,403,1.2,528
4,Beverages,446,1.0,420
3,Confectionery,447,1.2,605
9,Snacks,188,1.3,199
3,Beverages,333,1.2,440
9,Snacks,347,1.3,409
2,Beverages,148,1.1,161
2,Beverages,366,1.1,454
2,Snacks,172,1.1,171
6,Beverages,369,1.5,483
3,Beverages,336,1.2,432
9,Snacks,130,1.3,171
4,Beverages,59,1.0,59
1,Beverages,57,1.0,51
4,Beverages,454,1.0,369
1,Snacks,254,1.0,244
5,Confectionery,364,1.3,398
4,Snacks,483,1.0,561
8,Confectionery,246,1.2,241
8,Beverages,247,1.2,288
7,Confectionery,79,1.4,90
3,Snacks,450,1.2,452
1,Snacks,69,1.0,73
1,Beverages,97,1.0,102
12,Confectionery,179,1.8,262
11,Beverages,342,1.6,438
3,Beverages,434,1.2,433
6,Snacks,181,1.5,300
7,Confectionery,405,1.4,586
6,Confectionery,103,1.5,125
6,Confectionery,427,1.5,637
6,Confectionery,330,1.5,536
3,Beverages,436,1.2,600
6,Beverages,314,1.5,552
8,Snacks,264,1.2,294
11,Beverages,339,1.6,463
11,Beverages,92,1.6,131
2,Snacks,123,1.1,150
5,Snacks,399,1.3,616
1,Snacks,327,1.0,322
12,Beverages,375,1.8,622
1,Beverages,291,1.0,282
5,Snacks,179,1.3,214
12,Snacks,399,1.8,648
3,Snacks,243,1.2,302
4,Beverages,81,1.0,65
3,Beverages,155,1.2,168
1,Confectionery,449,1.0,477
1,Beverages,253,1.0,205
12,Beverages,50,1.8,74
12,Beverages,294,1.8,485
5,Snacks,121,1.3,181
6,Beverages,481,1.5,797
3,Snacks,355,1.2,344
12,Confectionery,446,1.8,803
9,Confectionery,64,1.3,75
5,Snacks,102,1.3,140
8,Snacks,477,1.2,623
1,Snacks,57,1.0,65
5,Beverages,379,1.3,487
3,Confectionery,95,1.2,136
12,Snacks,374,1.8,802
1,Beverages,163,1.0,187
4,Confectionery,196,1.0,201
5,Beverages,215,1.3,268
7,Confectionery,428,1.4,566
1,Beverages,188,1.0,151
3,Confectionery,166,1.2,179
2,Confectionery,348,1.1,416
9,Beverages,325,1.3,440
10,Snacks,453,1.4,739
6,Confectionery,326,1.5,400
10,Snacks,387,1.4,467
3,Beverages,362,1.2,484
8,Snacks,227,1.2,256
8,Snacks,379,1.2,385
2,Snacks,403,1.1,531
6,Snacks,203,1.5,339
7,Snacks,463,1.4,624
2,Confectionery,250,1.1,310
11,Confectionery,415,1.6,711
10,Confectionery,164,1.4,256
2,Beverages,208,1.1,257
10,Snacks,91,1.4,106
1,Confectionery,296,1.0,310
8,Beverages,117,1.2,112
1,Confectionery,494,1.0,403
9,Confectionery,494,1.3,745
11,Snacks,375,1.6,606
6,Beverages,383,1.5,628
7,Snacks,245,1.4,389
10,Snacks,139,1.4,229
7,Confectionery,160,1.4,257
10,Snacks,417,1.4,579
3,Beverages,408,1.2,457
2,Snacks,194,1.1,183
9,Snacks,324,1.3,404
8,Snacks,228,1.2,258
12,Confectionery,290,1.8,534
10,Beverages,375,1.4,559
7,Confectionery,368,1.4,613
9,Confectionery,380,1.3,539
4,Confectionery,463,1.0,489
4,Confectionery,202,1.0,188
1,Confectionery,153,1.0,124
8,Beverages,124,1.2,136
12,Snacks,177,1.8,352
3,Confectionery,248,1.2,262
7,Confectionery,203,1.4,308
12,Beverages,105,1.8,195
2,Beverages,327,1.1,312
2,Snacks,394,1.1,392
7,Beverages,68,1.4,95
6,Snacks,208,1.5,301
3,Confectionery,75,1.2,100
9,Confectionery,475,1.3,675
10,Snacks,218,1.4,314
6,Beverages,72,1.5,121
10,Snacks,96,1.4,137
10,Beverages,62,1.4,102
6,Confectionery,266,1.5,353
1,Beverages,371,1.0,402
4,Snacks,243,1.0,230
10,Snacks,193,1.4,246
6,Confectionery,122,1.5,159
6,Beverages,205,1.5,313
11,Beverages,126,1.6,178
12,Beverages,468,1.8,741
5,Confectionery,218,1.3,339
1,Beverages,336,1.0,376
8,Snacks,134,1.2,176
5,Beverages,465,1.3,675
12,Confectionery,231,1.8,493
12,Beverages,364,1.8,674
12,Beverages,346,1.8,553
5,Snacks,161,1.3,239
7,Beverages,499,1.4,766
4,Snacks,279,1.0,269
6,Snacks,145,1.5,215
4,Confectionery,487,1.0,469
3,Snacks,217,1.2,305
7,Snacks,427,1.4,560
8,Confectionery,205,1.2,291
4,Snacks,470,1.0,547
2,Confectionery,154,1.1,178
12,Beverages,242,1.8,449
10,Confectionery,379,1.4,503
3,Snacks,488,1.2,472
1,Confectionery,181,1.0,154
8,Snacks,404,1.2,534
3,Beverages,431,1.2,511
12,Confectionery,187,1.8,289
10,Beverages,480,1.4,608
7,Snacks,380,1.4,627
10,Snacks,319,1.4,422
5,Beverages,87,1.3,131
10,Confectionery,445,1.4,574
5,Confectionery,94,1.3,124
7,Snacks,450,1.4,509
9,Beverages,212,1.3,278
12,Beverages,499,1.8,947
5,Confectionery,380,1.3,441
1,Confectionery,302,1.0,311
10,Confectionery,218,1.4,323
10,Beverages,334,1.4,502
1,Confectionery,323,1.0,358
2,Confectionery,69,1.1,70
6,Snacks,288,1.5,443
9,Confectionery,319,1.3,494
8,Confectionery,467,1.2,649
5,Beverages,482,1.3,740
1,Beverages,359,1.0,342
7,Snacks,80,1.4,124
5,Confectionery,363,1.3,494
6,Snacks,153,1.5,191
7,Beverages,219,1.4,346
3,Snacks,235,1.2,301
12,Beverages,177,1.8,280
10,Snacks,259,1.4,301
3,Snacks,463,1.2,630
5,Confectionery,330,1.3,356
6,Snacks,496,1.5,622
9,Confectionery,302,1.3,381
12,Confectionery,68,1.8,104
5,Confectionery,249,1.3,377
1,Confectionery,269,1.0,265
4,Snacks,185,1.0,190
5,Beverages,272,1.3,414
12,Beverages,52,1.8,94
10,Beverages,285,1.4,375
10,Snacks,391,1.4,612
5,Confectionery,277,1.3,351
7,Beverages,450,1.4,584
4,Snacks,191,1.0,208
1,Confectionery,58,1.0,64
5,Beverages,239,1.3,346
7,Confectionery,399,1.4,665
10,Beverages,454,1.4,708
10,Beverages,214,1.4,331
6,Beverages,188,1.5,322
5,Confectionery,325,1.3,338
4,Snacks,340,1.0,321
2,Confectionery,102,1.1,122
4,Beverages,224,1.0,232
10,Confectionery,159,1.4,193
10,Snacks,252,1.4,325
3,Confectionery,485,1.2,544
10,Snacks,185,1.4,266
1,Snacks,53,1.0,60
8,Confectionery,204,1.2,287
5,Beverages,221,1.3,316
4,Snacks,473,1.0,537
8,Confectionery,407,1.2,482
7,Snacks,96,1.4,128
2,Beverages,143,1.1,150
1,Confectionery,477,1.0,499
12,Confectionery,97,1.8,148
11,Confectionery,289,1.6,477
4,Beverages,396,1.0,422
8,Snacks,262,1.2,306
12,Confectionery,485,1.8,1031
2,Snacks,389,1.1,446
3,Snacks,373,1.2,397
12,Beverages,188,1.8,335
1,Confectionery,254,1.0,271
1,Snacks,430,1.0,399
3,Confectionery,122,1.2,121
11,Confectionery,53,1.6,87
5,Beverages,125,1.3,191
12,Confectionery,378,1.8,676
3,Confectionery,126,1.2,175
1,Snacks,353,1.0,400
1,Beverages,305,1.0,261
8,Confectionery,459,1.2,596
10,Snacks,151,1.4,205
11,Beverages,155,1.6,223
12,Beverages,382,1.8,739
12,Snacks,88,1.8,173
2,Snacks,363,1.1,348
3,Snacks,324,1.2,453
2,Snacks,137,1.1,165
3,Snacks,260,1.2,366
7,Confectionery,418,1.4,542
1,Confectionery,126,1.0,148
10,Beverages,126,1.4,167
8,Confectionery,491,1.2,484
10,Confectionery,77,1.4,119
10,Confectionery,294,1.4,445
10,Snacks,115,1.4,167
2,Beverages,315,1.1,345
3,Beverages,431,1.2,420
9,Beverages,254,1.3,346
7,Beverages,107,1.4,144
4,Confectionery,250,1.0,256
10,Confectionery,274,1.4,372
5,Snacks,191,1.3,294
2,Beverages,430,1.1,492
11,Confectionery,417,1.6,733
8,Confectionery,133,1.2,187
4,Snacks,192,1.0,199
9,Snacks,401,1.3,419
5,Snacks,82,1.3,86
9,Confectionery,450,1.3,632
4,Confectionery,201,1.0,183
10,Snacks,207,1.4,299
5,Beverages,495,1.3,566
9,Snacks,190,1.3,224
8,Snacks,495,1.2,595
3,Snacks,300,1.2,428
1,Snacks,352,1.0,368
3,Confectionery,161,1.2,226
4,Beverages,193,1.0,228
2,Snacks,499,1.1,484
1,Beverages,258,1.0,238
7,Beverages,273,1.4,423
8,Beverages,92,1.2,126
7,Snacks,313,1.4,441
5,Confectionery,293,1.3,456
12,Snacks,52,1.8,75
1,Beverages,174,1.0,160
7,Beverages,317,1.4,465
7,Confectionery,133,1.4,183
9,Snacks,65,1.3,71
3,Beverages,383,1.2,435
9,Confectionery,108,1.3,113
1,Beverages,226,1.0,238
1,Confectionery,112,1.0,129
4,Confectionery,495,1.0,571
9,Snacks,98,1.3,137
6,Beverages,356,1.5,526
11,Snacks,295,1.6,474
3,Beverages,338,1.2,346
1,Snacks,335,1.0,313
4,Beverages,492,1.0,430
12,Snacks,381,1.8,773
9,Confectionery,64,1.3,97
3,Beverages,387,1.2,471
12,Beverages,304,1.8,597
9,Confectionery,141,1.3,155
7,Snacks,328,1.4,479
12,Beverages,255,1.8,496
4,Beverages,143,1.0,140
3,Snacks,274,1.2,295
10,Confectionery,350,1.4,563
5,Snacks,367,1.3,523
5,Snacks,248,1.3,373
3,Snacks,320,1.2,432
12,Beverages,283,1.8,609
9,Confectionery,95,1.3,108
4,Confectionery,113,1.0,94
11,Snacks,279,1.6,417
5,Beverages,479,1.3,530
4,Snacks,489,1.0,493
5,Beverages,298,1.3,408
7,Beverages,295,1.4,425
9,Beverages,477,1.3,560
7,Beverages,124,1.4,201
5,Confectionery,206,1.3,216
10,Beverages,272,1.4,357
10,Beverages,239,1.4,363
7,Snacks,101,1.4,156
10,Snacks,487,1.4,658
5,Confectionery,137,1.3,143
3,Snacks,362,1.2,454
7,Beverages,388,1.4,448
11,Snacks,115,1.6,155
11,Confectionery,199,1.6,337
2,Snacks,69,1.1,70
12,Snacks,82,1.8,138
9,Confectionery,377,1.3,487
10,Confectionery,330,1.4,550
10,Beverages,95,1.4,157
12,Snacks,122,1.8,212
1,Beverages,403,1.0,365
6,Snacks,362,1.5,500
7,Snacks,392,1.4,498
8,Beverages,182,1.2,221
10,Snacks,104,1.4,151
9,Snacks,110,1.3,142
2,Snacks,394,1.1,417
11,Confectionery,57,1.6,80
10,Beverages,321,1.4,446
2,Confectionery,295,1.1,303
5,Beverages,225,1.3,297
5,Beverages,165,1.3,229
6,Snacks,366,1.5,578
3,Beverages,320,1.2,378
8,Confectionery,242,1.2,296
1,Confectionery,199,1.0,181
6,Confectionery,180,1.5,218
4,Beverages,151,1.0,158
1,Confectionery,359,1.0,323
7,Beverages,319,1.4,476
9,Confectionery,341,1.3,487
4,Confectionery,259,1.0,302
4,Beverages,410,1.0,485
6,Confectionery,387,1.5,466
12,Snacks,116,1.8,249
3,Beverages,59,1.2,75
12,Beverages,98,1.8,186
6,Beverages,160,1.5,193
7,Snacks,370,1.4,592
11,Beverages,268,1.6,367
10,Confectionery,106,1.4,168
10,Confectionery,332,1.4,374
3,Confectionery,162,1.2,205
7,Beverages,182,1.4,248
3,Confectionery,120,1.2,126
2,Beverages,132,1.1,122
12,Confectionery,106,1.8,186
10,Snacks,425,1.4,505
4,Snacks,398,1.0,395
12,Snacks,320,1.8,604
8,Snacks,160,1.2,217
9,Beverages,406,1.3,565
7,Confectionery,424,1.4,490
1,Snacks,125,1.0,115
3,Beverages,207,1.2,227
12,Snacks,69,1.8,144
9,Snacks,470,1.3,700
12,Beverages,180,1.8,307
1,Beverages,378,1.0,313
9,Confectionery,171,1.3,257
8,Confectionery,90,1.2,124
1,Snacks,216,1.0,246
6,Snacks,459,1.5,783
5,Confectionery,179,1.3,230
6,Confectionery,72,1.5,94
10,Beverages,328,1.4,455
12,Confectionery,300,1.8,538
5,Confectionery,449,1.3,581
6,Snacks,58,1.5,88
5,Confectionery,62,1.3,72
11,Snacks,461,1.6,698
12,Confectionery,460,1.8,806
5,Beverages,356,1.3,394
4,Confectionery,369,1.0,362
3,Confectionery,101,1.2,136
3,Confectionery,258,1.2,350
4,Snacks,87,1.0,83
9,Beverages,149,1.3,195
2,Confectionery,242,1.1,216
9,Snacks,451,1.3,627
1,Beverages,240,1.0,230
1,Snacks,100,1.0,97
5,Snacks,442,1.3,660
6,Beverages,190,1.5,280
6,Confectionery,217,1.5,263
3,Snacks,360,1.2,384
7,Snacks,158,1.4,219
9,Confectionery,256,1.3,322
11,Confectionery,476,1.6,871
12,Beverages,349,1.8,638
10,Beverages,159,1.4,239
8,Beverages,245,1.2,290
6,Confectionery,466,1.5,682
12,Snacks,201,1.8,354
8,Snacks,469,1.2,542
12,Beverages,292,1.8,533
5,Confectionery,177,1.3,207
8,Snacks,154,1.2,213
10,Beverages,59,1.4,77
12,Snacks,405,1.8,626
4,Snacks,197,1.0,165
10,Confectionery,414,1.4,466
8,Confectionery,413,1.2,480
10,Snacks,189,1.4,231
12,Beverages,239,1.8,347
2,Confectionery,451,1.1,500
12,Snacks,143,1.8,275
12,Confectionery,278,1.8,417
5,Confectionery,112,1.3,143
9,Confectionery,389,1.3,554
4,Snacks,74,1.0,88
11,Beverages,317,1.6,541
6,Beverages,454,1.5,611
1,Beverages,330,1.0,358
9,Confectionery,60,1.3,81
1,Snacks,369,1.0,326
5,Confectionery,250,1.3,370
4,Beverages,175,1.0,169
12,Beverages,355,1.8,757
3,Snacks,239,1.2,312
6,Confectionery,138,1.5,218
2,Beverages,404,1.1,484
3,Snacks,165,1.2,196
5,Confectionery,401,1.3,522
9,Confectionery,226,1.3,335
2,Beverages,63,1.1,74
10,Beverages,306,1.4,496
8,Confectionery,258,1.2,357
2,Confectionery,330,1.1,432
11,Beverages,492,1.6,850
5,Confectionery,377,1.3,490
7,Beverages,374,1.4,453
8,Confectionery,438,1.2,568
1,Beverages,154,1.0,141
6,Snacks,196,1.5,268
1,Beverages,328,1.0,293
2,Beverages,58,1.1,73
1,Snacks,167,1.0,191
11,Confectionery,143,1.6,240
5,Snacks,483,1.3,621
10,Beverages,193,1.4,288
9,Confectionery,338,1.3,458
6,Snacks,435,1.5,630
11,Confectionery,63,1.6,95
11,Confectionery,306,1.6,466
1,Snacks,395,1.0,409
1,Confectionery,235,1.0,248
2,Snacks,394,1.1,425
9,Beverages,449,1.3,693
3,Confectionery,256,1.2,256
1,Beverages,395,1.0,370
5,Beverages,480,1.3,603
7,Confectionery,221,1.4,249
6,Snacks,319,1.5,452
12,Confectionery,270,1.8,442
1,Beverages,201,1.0,201
5,Beverages,160,1.3,194
5,Snacks,232,1.3,328
6,Confectionery,448,1.5,674
3,Beverages,388,1.2,396
5,Beverages,121,1.3,173
7,Beverages,467,1.4,548
5,Snacks,435,1.3,642
5,Beverages,332,1.3,506
5,Beverages,123,1.3,148
10,Confectionery,404,1.4,662
10,Confectionery,264,1.4,412
3,Beverages,377,1.2,528
1,Beverages,72,1.0,76
5,Confectionery,117,1.3,136
9,Snacks,447,1.3,672
1,Snacks,496,1.0,433
3,Snacks,422,1.2,448
4,Snacks,411,1.0,373
1,Snacks,142,1.0,130
1,Snacks,370,1.0,372
8,Snacks,373,1.2,485
2,Snacks,433,1.1,557
12,Confectionery,112,1.8,168
8,Snacks,273,1.2,387
7,Snacks,274,1.4,448
10,Snacks,418,1.4,480
10,Beverages,395,1.4,522
2,Confectionery,386,1.1,477
6,Confectionery,152,1.5,238
6,Confectionery,264,1.5,440
3,Snacks,241,1.2,314
11,Snacks,209,1.6,333
2,Beverages,421,1.1,378
12,Confectionery,256,1.8,476
1,Snacks,318,1.0,260
6,Confectionery,243,1.5,379
12,Beverages,429,1.8,864
5,Beverages,452,1.3,607
11,Beverages,201,1.6,385
9,Confectionery,286,1.3,365
1,Snacks,137,1.0,150
7,Snacks,60,1.4,89
5,Beverages,236,1.3,367
5,Snacks,263,1.3,371
2,Beverages,64,1.1,60
11,Confectionery,315,1.6,595
3,Beverages,346,1.2,443
7,Confectionery,460,1.4,530
6,Beverages,493,1.5,786
12,Snacks,122,1.8,253
2,Snacks,101,1.1,114
6,Beverages,177,1.5,249
2,Snacks,77,1.1,95
2,Snacks,114,1.1,139
2,Snacks,66,1.1,73
11,Confectionery,400,1.6,551
3,Snacks,477,1.2,515
2,Confectionery,187,1.1,225
4,Beverages,368,1.0,413
9,Snacks,278,1.3,329
6,Snacks,303,1.5,430
1,Snacks,259,1.0,215
8,Beverages,480,1.2,625
12,Confectionery,343,1.8,494
7,Confectionery,280,1.4,320
10,Snacks,290,1.4,325
3,Beverages,119,1.2,151
1,Beverages,153,1.0,147
5,Beverages,253,1.3,302
4,Beverages,102,1.0,118
10,Beverages,477,1.4,585
8,Confectionery,424,1.2,486
1,Confectionery,379,1.0,445
10,Confectionery,103,1.4,139
1,Snacks,325,1.0,332
12,Beverages,384,1.8,575
4,Snacks,80,1.0,89
8,Beverages,184,1.2,213
5,Confectionery,107,1.3,155
2,Snacks,154,1.1,152
6,Confectionery,315,1.5,457
5,Beverages,59,1.3,85
2,Beverages,302,1.1,395
11,Beverages,344,1.6,453
11,Confectionery,205,1.6,368
11,Beverages,207,1.6,304
3,Confectionery,86,1.2,105
9,Snacks,168,1.3,200
7,Beverages,116,1.4,169
7,Beverages,291,1.4,383
11,Beverages,348,1.6,519
6,Snacks,262,1.5,320
8,Beverages,357,1.2,367
4,Confectionery,150,1.0,175
8,Confectionery,105,1.2,151
4,Beverages,381,1.0,423
8,Beverages,373,1.2,409
9,Snacks,288,1.3,359
3,Snacks,442,1.2,581
3,Snacks,280,1.2,398
11,Beverages,411,1.6,645
2,Snacks,430,1.1,535
10,Snacks,141,1.4,234
3,Confectionery,328,1.2,452
3,Snacks,496,1.2,530
5,Confectionery,158,1.3,164
5,Confectionery,366,1.3,474
2,Snacks,217,1.1,241
12,Confectionery,349,1.8,553
10,Beverages,457,1.4,584
6,Beverages,484,1.5,803
5,Snacks,491,1.3,630
6,Beverages,267,1.5,371
1,Confectionery,271,1.0,284
5,Beverages,210,1.3,289
9,Snacks,65,1.3,93
12,Snacks,327,1.8,507
